Iteration,Mean,Stdev,Run-0
0,2.457641145488902,0.0,2.457641145488902
1,2.6172504656604803,0.0,2.6172504656604803
2,2.2271057451320093,0.0,2.2271057451320093
3,2.736786436680802,0.0,2.736786436680802
4,2.736786436680802,0.0,2.736786436680802
5,2.736786436680802,0.0,2.736786436680802
6,2.736786436680802,0.0,2.736786436680802
7,2.736786436680802,0.0,2.736786436680802
8,2.736786436680802,0.0,2.736786436680802
9,2.736786436680802,0.0,2.736786436680802
10,2.736786436680802,0.0,2.736786436680802
11,2.736786436680802,0.0,2.736786436680802
12,2.736786436680802,0.0,2.736786436680802
13,2.736786436680802,0.0,2.736786436680802
14,2.736786436680802,0.0,2.736786436680802
15,2.736786436680802,0.0,2.736786436680802
16,2.736786436680802,0.0,2.736786436680802
17,2.736786436680802,0.0,2.736786436680802
18,2.736786436680802,0.0,2.736786436680802
19,2.736786436680802,0.0,2.736786436680802
20,2.736786436680802,0.0,2.736786436680802
21,2.736786436680802,0.0,2.736786436680802
22,2.736786436680802,0.0,2.736786436680802
23,2.736786436680802,0.0,2.736786436680802
24,2.736786436680802,0.0,2.736786436680802
25,2.736786436680802,0.0,2.736786436680802
26,2.736786436680802,0.0,2.736786436680802
27,2.736786436680802,0.0,2.736786436680802
28,2.736786436680802,0.0,2.736786436680802
29,2.736786436680802,0.0,2.736786436680802
30,2.736786436680802,0.0,2.736786436680802
31,2.736786436680802,0.0,2.736786436680802
32,2.736786436680802,0.0,2.736786436680802
33,2.736786436680802,0.0,2.736786436680802
34,2.736786436680802,0.0,2.736786436680802
35,2.736786436680802,0.0,2.736786436680802
36,2.736786436680802,0.0,2.736786436680802
37,2.736786436680802,0.0,2.736786436680802
38,2.736786436680802,0.0,2.736786436680802
