Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9
0,0,1,3,1,5,7,8,8,5,3,5
0,1,1,3,1,4,1,8,8,1,3,5
0,2,1,3,1,4,1,1,8,1,3,5
0,3,1,3,1,4,9,1,8,6,3,5
0,4,1,3,1,4,9,1,8,6,3,5
0,5,1,3,1,4,9,1,8,6,3,5
0,6,1,3,1,4,9,1,8,6,3,5
0,7,1,3,1,4,9,1,8,6,3,5
0,8,1,3,1,4,9,1,8,6,3,5
0,9,1,3,1,4,9,1,8,6,3,5
0,10,1,3,1,4,9,1,8,6,3,5
0,11,1,3,1,4,9,1,8,6,3,5
0,12,1,3,1,4,9,1,8,6,3,5
0,13,1,3,1,4,9,1,8,6,3,5
0,14,1,3,1,4,9,1,8,6,3,5
0,15,1,3,1,4,9,1,8,6,3,5
0,16,1,3,1,4,9,1,8,6,3,5
0,17,1,3,1,4,9,1,8,6,3,5
0,18,1,3,1,4,9,1,8,6,3,5
0,19,1,3,1,4,9,1,8,6,3,5
0,20,1,3,1,4,9,1,8,6,3,5
0,21,1,3,1,4,9,1,8,6,3,5
0,22,1,3,1,4,9,1,8,6,3,5
0,23,1,3,1,4,9,1,8,6,3,5
0,24,1,3,1,4,9,1,8,6,3,5
0,25,1,3,1,4,9,1,8,6,3,5
0,26,1,3,1,4,9,1,8,6,3,5
0,27,1,3,1,4,9,1,8,6,3,5
0,28,1,3,1,4,9,1,8,6,3,5
0,29,1,3,1,4,9,1,8,6,3,5
0,30,1,3,1,4,9,1,8,6,3,5
0,31,1,3,1,4,9,1,8,6,3,5
0,32,1,3,1,4,9,1,8,6,3,5
0,33,1,3,1,4,9,1,8,6,3,5
0,34,1,3,1,4,9,1,8,6,3,5
0,35,1,3,1,4,9,1,8,6,3,5
0,36,1,3,1,4,9,1,8,6,3,5
0,37,1,3,1,4,9,1,8,6,3,5
0,38,1,3,1,4,9,1,8,6,3,5
