Iteration,Mean,Stdev,Run-0
0,2.44526770327596,0.0,2.44526770327596
1,2.130234243666843,0.0,2.130234243666843
2,2.0442287462428292,0.0,2.0442287462428292
3,1.9841841371699511,0.0,1.9841841371699511
4,1.9841841371699511,0.0,1.9841841371699511
5,1.9841841371699511,0.0,1.9841841371699511
6,1.9841841371699511,0.0,1.9841841371699511
7,1.9841841371699511,0.0,1.9841841371699511
8,1.9841841371699511,0.0,1.9841841371699511
9,1.9841841371699511,0.0,1.9841841371699511
10,1.9841841371699511,0.0,1.9841841371699511
11,1.9841841371699511,0.0,1.9841841371699511
12,1.9841841371699511,0.0,1.9841841371699511
13,1.9841841371699511,0.0,1.9841841371699511
14,1.9841841371699511,0.0,1.9841841371699511
15,1.9841841371699511,0.0,1.9841841371699511
16,1.9841841371699511,0.0,1.9841841371699511
17,1.9841841371699511,0.0,1.9841841371699511
18,1.9841841371699511,0.0,1.9841841371699511
19,1.9841841371699511,0.0,1.9841841371699511
20,1.9841841371699511,0.0,1.9841841371699511
21,1.9841841371699511,0.0,1.9841841371699511
22,1.9841841371699511,0.0,1.9841841371699511
23,1.9841841371699511,0.0,1.9841841371699511
24,1.9841841371699511,0.0,1.9841841371699511
25,1.9841841371699511,0.0,1.9841841371699511
26,1.9841841371699511,0.0,1.9841841371699511
27,1.9841841371699511,0.0,1.9841841371699511
28,1.9841841371699511,0.0,1.9841841371699511
29,1.9841841371699511,0.0,1.9841841371699511
30,1.9841841371699511,0.0,1.9841841371699511
31,1.9841841371699511,0.0,1.9841841371699511
32,1.9841841371699511,0.0,1.9841841371699511
33,1.9841841371699511,0.0,1.9841841371699511
34,1.9841841371699511,0.0,1.9841841371699511
35,1.9841841371699511,0.0,1.9841841371699511
36,1.9841841371699511,0.0,1.9841841371699511
37,1.9841841371699511,0.0,1.9841841371699511
38,1.9841841371699511,0.0,1.9841841371699511
